PersonLopNr,income,profession,gender,education,city,uni_id,ethnicity,parental_income_percentile7,age,year,cohort
1000011,4112.14,3337,m,337,Stockholm,20,NW,87,25,2005,1980
1000011,4253.66,3337,m,337,Stockholm,20,NW,87,26,2006,1980
1000011,4400.05,3337,m,337,Stockholm,20,NW,87,27,2007,1980
1000012,2404.93,3353,f,729,Gothenburg,24,AS,1,27,2023,1996
1000012,2503.17,3353,f,729,Gothenburg,24,AS,1,28,2024,1996
1000012,2605.42,3353,f,729,Gothenburg,24,AS,1,29,2025,1996
1000013,11950.27,3310,f,337,Gothenburg,24,NW,58,36,2012,1976
1000013,12318.0,3310,f,337,Gothenburg,24,NW,58,37,2013,1976
1000014,7441.98,3322,m,640,Sollentuna,5,AS,77,43,1990,1947
1000014,7809.0,3322,m,640,Sollentuna,5,AS,77,44,1991,1947
1000014,8194.12,3322,m,640,Sollentuna,5,AS,77,45,1992,1947
1000014,8598.23,3322,m,640,Sollentuna,5,AS,77,46,1993,1947
1000014,9022.28,3322,m,640,Sollentuna,5,AS,77,47,1994,1947
1000015,4833.43,3333,m,729,Gothenburg,29,SE,14,39,1995,1956
1000016,20831.23,3341,m,729,Malmö,27,SE,93,24,2014,1990
1000016,21148.92,3341,m,729,Malmö,27,SE,93,25,2015,1990
1000017,8392.68,3337,f,729,Stockholm,7,AS,77,54,2024,1970
1000018,11784.27,3343,f,536,Malmö,15,W,56,27,1995,1968
1000018,11933.22,3343,f,536,Malmö,15,W,56,28,1996,1968
1000019,7776.66,3310,m,729,Linkoping,3,AS,28,65,2020,1955
1000020,21758.86,3342,m,337,Upplands Vasby,8,W,9,37,2022,1985
1000020,22166.69,3342,m,337,Upplands Vasby,8,W,9,38,2023,1985
1000020,22582.16,3342,m,337,Upplands Vasby,8,W,9,39,2024,1985
1000020,23005.41,3342,m,337,Upplands Vasby,8,W,9,40,2025,1985
1000021,20058.52,3340,m,729,Linkoping,26,NW,100,46,1992,1946
1000022,6335.13,3356,m,536,Malmo,2,A,59,63,2021,1958
1000022,6424.04,3356,m,536,Malmo,2,A,59,64,2022,1958
1000022,6514.2,3356,m,536,Malmo,2,A,59,65,2023,1958
1000023,8782.04,3322,f,640,Huddinge,7,SE,31,54,2008,1954
1000023,9021.26,3322,f,640,Huddinge,7,SE,31,55,2009,1954
1000024,9069.08,3345,f,536,Gothenburg,4,SE,56,23,2021,1998
1000024,9471.74,3345,f,536,Gothenburg,4,SE,56,24,2022,1998
1000024,9892.27,3345,f,536,Gothenburg,4,SE,56,25,2023,1998
1000024,10331.47,3345,f,536,Gothenburg,4,SE,56,26,2024,1998
1000024,10790.17,3345,f,536,Gothenburg,4,SE,56,27,2025,1998
1000025,19712.39,3323,m,441,Stockholm,28,A,61,45,1983,1938
1000025,20214.62,3323,m,441,Stockholm,28,A,61,46,1984,1938
1000026,3753.33,3337,f,640,Malmö,23,A,36,55,2022,1967
1000026,3814.59,3337,f,640,Malmö,23,A,36,56,2023,1967
1000026,3876.86,3337,f,640,Malmö,23,A,36,57,2024,1967
1000026,3940.15,3337,f,640,Malmö,23,A,36,58,2025,1967
1000027,9566.42,3344,f,441,Malmö,2,AS,94,40,1983,1943
1000028,8916.21,3313,f,729,Alingsås,17,AS,20,25,1991,1966
1000029,2407.12,3347,m,441,Malmo,20,AS,31,22,2019,1997
1000030,2367.23,3323,f,729,Linkoping,22,W,33,65,2000,1935
1000031,1994.83,3330,f,536,Stockholm,30,W,58,24,1980,1956
1000031,2065.57,3330,f,536,Stockholm,30,W,58,25,1981,1956
1000031,2138.82,3330,f,536,Stockholm,30,W,58,26,1982,1956
1000031,2214.66,3330,f,536,Stockholm,30,W,58,27,1983,1956
1000032,4808.58,3318,m,337,Orebro,30,AS,33,42,1984,1942
1000032,4929.23,3318,m,337,Orebro,30,AS,33,43,1985,1942
1000033,9051.56,3351,m,536,Sollentuna,17,W,78,20,2022,2002
1000033,9489.7,3351,m,536,Sollentuna,17,W,78,21,2023,2002
1000033,9949.05,3351,m,536,Sollentuna,17,W,78,22,2024,2002
1000034,20030.5,3345,m,441,Gothenburg,5,SE,95,37,1998,1961
1000034,20402.99,3345,m,441,Gothenburg,5,SE,95,38,1999,1961
1000034,20782.4,3345,m,441,Gothenburg,5,SE,95,39,2000,1961
1000034,21168.87,3345,m,441,Gothenburg,5,SE,95,40,2001,1961
1000034,21562.53,3345,m,441,Gothenburg,5,SE,95,41,2002,1961
1000035,4876.03,3341,f,441,Lund,9,W,64,23,1985,1962
1000035,5091.16,3341,f,441,Lund,9,W,64,24,1986,1962
1000035,5315.78,3341,f,441,Lund,9,W,64,25,1987,1962
1000035,5550.31,3341,f,441,Lund,9,W,64,26,1988,1962
1000036,18952.82,3326,m,337,Gothenburg,6,NW,81,48,2015,1967
1000036,19577.66,3326,m,337,Gothenburg,6,NW,81,49,2016,1967
1000036,20223.1,3326,m,337,Gothenburg,6,NW,81,50,2017,1967
1000036,20889.82,3326,m,337,Gothenburg,6,NW,81,51,2018,1967
1000037,3339.27,3312,m,337,Malmö,27,NW,69,43,2017,1974
1000037,3392.87,3312,m,337,Malmö,27,NW,69,44,2018,1974
1000037,3447.33,3312,m,337,Malmö,27,NW,69,45,2019,1974
1000037,3502.66,3312,m,337,Malmö,27,NW,69,46,2020,1974
1000037,3558.88,3312,m,337,Malmö,27,NW,69,47,2021,1974
1000038,2282.11,3323,m,337,Gothenburg,22,SE,45,35,2022,1987
1000039,4976.89,3357,f,729,Växjö,5,A,79,35,1990,1955
1000039,5207.3,3357,f,729,Växjö,5,A,79,36,1991,1955
1000040,9664.94,3336,m,441,Umeå,26,W,100,62,1995,1933
1000040,9824.43,3336,m,441,Umeå,26,W,100,63,1996,1933
1000040,9986.56,3336,m,441,Umeå,26,W,100,64,1997,1933
1000041,6416.18,3322,m,536,Växjö,27,A,28,49,2002,1953
1000041,6696.9,3322,m,536,Växjö,27,A,28,50,2003,1953
1000041,6989.9,3322,m,536,Växjö,27,A,28,51,2004,1953
1000042,2287.8,3331,m,441,Stockholm,9,NW,51,24,1997,1973
1000042,2370.86,3331,m,441,Stockholm,9,NW,51,25,1998,1973
1000042,2456.92,3331,m,441,Stockholm,9,NW,51,26,1999,1973
1000043,5512.37,3326,f,729,Gothenburg,6,SE,14,57,1996,1939
1000044,3138.8,3348,m,729,Uppsala,17,W,55,27,2004,1977
1000044,3194.54,3348,m,729,Uppsala,17,W,55,28,2005,1977
1000044,3251.27,3348,m,729,Uppsala,17,W,55,29,2006,1977
1000044,3309.01,3348,m,729,Uppsala,17,W,55,30,2007,1977
1000044,3367.77,3348,m,729,Uppsala,17,W,55,31,2008,1977
1000045,13523.53,3356,m,536,Stockholm,24,AS,87,62,1992,1930
1000045,13897.14,3356,m,536,Stockholm,24,AS,87,63,1993,1930
1000045,14281.07,3356,m,536,Stockholm,24,AS,87,64,1994,1930
1000046,9200.67,3329,f,729,Gothenburg,17,SE,92,39,2022,1983
1000046,9415.19,3329,f,729,Gothenburg,17,SE,92,40,2023,1983
1000046,9634.7,3329,f,729,Gothenburg,17,SE,92,41,2024,1983
1000046,9859.34,3329,f,729,Gothenburg,17,SE,92,42,2025,1983
1000047,4235.73,3334,f,729,Stockholm,22,A,85,31,2019,1988
1000047,4330.11,3334,f,729,Stockholm,22,A,85,32,2020,1988
1000047,4426.6,3334,f,729,Stockholm,22,A,85,33,2021,1988
1000047,4525.24,3334,f,729,Stockholm,22,A,85,34,2022,1988
1000047,4626.07,3334,f,729,Stockholm,22,A,85,35,2023,1988
1000048,6505.4,3347,m,640,Gothenburg,20,A,100,61,2000,1939
1000048,6687.93,3347,m,640,Gothenburg,20,A,100,62,2001,1939
1000048,6875.57,3347,m,640,Gothenburg,20,A,100,63,2002,1939
1000048,7068.49,3347,m,640,Gothenburg,20,A,100,64,2003,1939
1000049,4054.51,3315,m,729,Uppsala,10,NW,84,52,2022,1970
1000049,4110.59,3315,m,729,Uppsala,10,NW,84,53,2023,1970
1000049,4167.44,3315,m,729,Uppsala,10,NW,84,54,2024,1970
1000050,7190.29,3311,m,640,Gothenburg,2,NW,18,35,2010,1975
1000050,7513.64,3311,m,640,Gothenburg,2,NW,18,36,2011,1975
1000050,7851.54,3311,m,640,Gothenburg,2,NW,18,37,2012,1975
1000050,8204.64,3311,m,640,Gothenburg,2,NW,18,38,2013,1975
1000050,8573.61,3311,m,640,Gothenburg,2,NW,18,39,2014,1975
1000051,13419.07,3355,m,536,Malmo,23,AS,24,44,2011,1967
1000051,13686.86,3355,m,536,Malmo,23,AS,24,45,2012,1967
1000051,13960.0,3355,m,536,Malmo,23,AS,24,46,2013,1967
1000051,14238.58,3355,m,536,Malmo,23,AS,24,47,2014,1967
1000052,3515.23,3354,m,337,Eskilstuna,17,NW,22,49,1983,1934
1000052,3586.13,3354,m,337,Eskilstuna,17,NW,22,50,1984,1934
1000052,3658.45,3354,m,337,Eskilstuna,17,NW,22,51,1985,1934
1000052,3732.24,3354,m,337,Eskilstuna,17,NW,22,52,1986,1934
1000052,3807.51,3354,m,337,Eskilstuna,17,NW,22,53,1987,1934
1000053,12210.98,3343,m,536,Stockholm,18,A,85,58,2000,1942
1000053,12639.69,3343,m,536,Stockholm,18,A,85,59,2001,1942
1000053,13083.45,3343,m,536,Stockholm,18,A,85,60,2002,1942
1000053,13542.79,3343,m,536,Stockholm,18,A,85,61,2003,1942
1000054,5018.8,3340,f,729,Uppsala,15,NW,95,36,1995,1959
1000054,5226.92,3340,f,729,Uppsala,15,NW,95,37,1996,1959
1000054,5443.68,3340,f,729,Uppsala,15,NW,95,38,1997,1959
1000055,4133.28,3328,f,441,Gothenburg,8,SE,91,37,2001,1964
1000055,4326.64,3328,f,441,Gothenburg,8,SE,91,38,2002,1964
1000055,4529.05,3328,f,441,Gothenburg,8,SE,91,39,2003,1964
1000056,7319.55,3319,m,441,Stockholm,23,A,88,33,1984,1951
1000056,7514.64,3319,m,441,Stockholm,23,A,88,34,1985,1951
1000056,7714.93,3319,m,441,Stockholm,23,A,88,35,1986,1951
1000056,7920.55,3319,m,441,Stockholm,23,A,88,36,1987,1951
1000057,3447.43,3359,f,536,Stockholm,19,A,49,64,1981,1917
1000057,3549.15,3359,f,536,Stockholm,19,A,49,65,1982,1917
1000058,3971.97,3357,f,640,Borås,24,A,68,54,2018,1964
1000058,4091.01,3357,f,640,Borås,24,A,68,55,2019,1964
1000059,1904.29,3352,f,536,Vasteras,22,A,43,45,1990,1945
1000059,1995.49,3352,f,536,Vasteras,22,A,43,46,1991,1945
1000059,2091.06,3352,f,536,Vasteras,22,A,43,47,1992,1945
1000059,2191.21,3352,f,536,Vasteras,22,A,43,48,1993,1945
1000060,19285.86,3351,m,536,Helsingborg,14,SE,10,28,2009,1981
1000060,19518.91,3351,m,536,Helsingborg,14,SE,10,29,2010,1981
1000061,6765.45,3358,f,640,Stockholm,29,W,43,44,1997,1953
1000061,6902.75,3358,f,640,Stockholm,29,W,43,45,1998,1953
1000061,7042.83,3358,f,640,Stockholm,29,W,43,46,1999,1953
1000061,7185.76,3358,f,640,Stockholm,29,W,43,47,2000,1953
1000062,5191.38,3332,m,536,Stockholm,8,AS,6,61,1984,1923
1000063,9338.46,3319,m,441,Stockholm,8,SE,79,28,2010,1982
1000064,6481.39,3348,m,536,Lund,20,W,21,65,1987,1922
1000065,4779.89,3353,f,337,Linkoping,30,W,73,44,2005,1961
1000065,4842.63,3353,f,337,Linkoping,30,W,73,45,2006,1961
1000066,9636.49,3348,m,337,Lund,26,W,87,27,2016,1989
1000067,8824.44,3342,f,729,Uppsala,21,W,8,41,1980,1939
1000067,9211.18,3342,f,729,Uppsala,21,W,8,42,1981,1939
1000067,9614.88,3342,f,729,Uppsala,21,W,8,43,1982,1939
1000067,10036.26,3342,f,729,Uppsala,21,W,8,44,1983,1939
1000068,6037.39,3319,m,536,Malmö,14,A,90,31,2013,1982
1000068,6250.17,3319,m,536,Malmö,14,A,90,32,2014,1982
1000068,6470.45,3319,m,536,Malmö,14,A,90,33,2015,1982
1000069,4672.85,3330,f,536,Uppsala,28,AS,34,35,1985,1950
1000069,4889.23,3330,f,536,Uppsala,28,AS,34,36,1986,1950
1000069,5115.62,3330,f,536,Uppsala,28,AS,34,37,1987,1950
1000070,4640.97,3311,m,536,Linkoping,16,A,43,40,1991,1951
1000070,4727.56,3311,m,536,Linkoping,16,A,43,41,1992,1951
1000070,4815.76,3311,m,536,Linkoping,16,A,43,42,1993,1951
1000070,4905.6,3311,m,536,Linkoping,16,A,43,43,1994,1951
1000071,1691.87,3327,f,640,Gothenburg,18,AS,89,20,2013,1993
1000071,1714.74,3327,f,640,Gothenburg,18,AS,89,21,2014,1993
1000072,2158.51,3340,f,536,Linkoping,21,NW,88,65,2011,1946
1000073,16393.64,3325,m,337,Gothenburg,10,A,88,62,2017,1955
1000073,16874.84,3325,m,337,Gothenburg,10,A,88,63,2018,1955
1000073,17370.17,3325,m,337,Gothenburg,10,A,88,64,2019,1955
1000074,14438.72,3332,f,536,Malmö,23,AS,42,49,1997,1948
1000074,14731.23,3332,f,536,Malmö,23,AS,42,50,1998,1948
1000074,15029.66,3332,f,536,Malmö,23,AS,42,51,1999,1948
1000075,7024.74,3354,m,441,Gothenburg,6,AS,97,32,1993,1961
1000075,7174.25,3354,m,441,Gothenburg,6,AS,97,33,1994,1961
1000075,7326.94,3354,m,441,Gothenburg,6,AS,97,34,1995,1961
1000075,7482.88,3354,m,441,Gothenburg,6,AS,97,35,1996,1961
1000076,6898.09,3333,f,337,Sollentuna,6,W,29,39,1980,1941
1000076,7002.78,3333,f,337,Sollentuna,6,W,29,40,1981,1941
1000076,7109.07,3333,f,337,Sollentuna,6,W,29,41,1982,1941
1000076,7216.96,3333,f,337,Sollentuna,6,W,29,42,1983,1941
1000076,7326.5,3333,f,337,Sollentuna,6,W,29,43,1984,1941
1000077,7972.41,3358,m,337,Linkoping,16,NW,81,26,1980,1954
1000077,8144.64,3358,m,337,Linkoping,16,NW,81,27,1981,1954
1000077,8320.59,3358,m,337,Linkoping,16,NW,81,28,1982,1954
1000077,8500.35,3358,m,337,Linkoping,16,NW,81,29,1983,1954
1000077,8683.99,3358,m,337,Linkoping,16,NW,81,30,1984,1954
1000078,45026.49,3340,f,536,Gothenburg,4,SE,32,24,2005,1981
1000078,45613.98,3340,f,536,Gothenburg,4,SE,32,25,2006,1981
1000078,46209.13,3340,f,536,Gothenburg,4,SE,32,26,2007,1981
1000078,46812.06,3340,f,536,Gothenburg,4,SE,32,27,2008,1981
1000079,15562.18,3315,m,441,Stockholm,8,AS,38,27,2015,1988
1000079,16104.46,3315,m,441,Stockholm,8,AS,38,28,2016,1988
1000079,16665.63,3315,m,441,Stockholm,8,AS,38,29,2017,1988
1000079,17246.37,3315,m,441,Stockholm,8,AS,38,30,2018,1988
1000080,7287.0,3347,m,729,Malmo,14,A,38,39,2016,1977
1000080,7377.98,3347,m,729,Malmo,14,A,38,40,2017,1977
1000080,7470.11,3347,m,729,Malmo,14,A,38,41,2018,1977
1000080,7563.39,3347,m,729,Malmo,14,A,38,42,2019,1977
1000080,7657.83,3347,m,729,Malmo,14,A,38,43,2020,1977
1000081,3947.22,3315,m,441,Jönköping,6,W,84,35,1991,1956
1000081,3998.88,3315,m,441,Jönköping,6,W,84,36,1992,1956
1000081,4051.21,3315,m,441,Jönköping,6,W,84,37,1993,1956
1000081,4104.23,3315,m,441,Jönköping,6,W,84,38,1994,1956
1000081,4157.95,3315,m,441,Jönköping,6,W,84,39,1995,1956
1000082,3071.28,3328,m,536,Uppsala,2,AS,60,34,1998,1964
1000082,3190.61,3328,m,536,Uppsala,2,AS,60,35,1999,1964
1000082,3314.59,3328,m,536,Uppsala,2,AS,60,36,2000,1964
1000083,6097.69,3350,f,337,Lund,19,W,100,62,1992,1930
1000083,6187.32,3350,f,337,Lund,19,W,100,63,1993,1930
1000083,6278.26,3350,f,337,Lund,19,W,100,64,1994,1930
1000083,6370.53,3350,f,337,Lund,19,W,100,65,1995,1930
1000084,4553.09,3313,m,441,Upplands Vasby,6,NW,9,39,2018,1979
1000084,4771.47,3313,m,441,Upplands Vasby,6,NW,9,40,2019,1979
1000084,5000.32,3313,m,441,Upplands Vasby,6,NW,9,41,2020,1979
1000084,5240.14,3313,m,441,Upplands Vasby,6,NW,9,42,2021,1979
1000084,5491.47,3313,m,441,Upplands Vasby,6,NW,9,43,2022,1979
1000085,2125.36,3335,f,337,Uppsala,9,W,89,52,2014,1962
1000085,2184.65,3335,f,337,Uppsala,9,W,89,53,2015,1962
1000085,2245.58,3335,f,337,Uppsala,9,W,89,54,2016,1962
1000085,2308.21,3335,f,337,Uppsala,9,W,89,55,2017,1962
1000086,4363.56,3311,m,536,Umeå,3,AS,32,34,2023,1989
1000086,4512.15,3311,m,536,Umeå,3,AS,32,35,2024,1989
1000086,4665.79,3311,m,536,Umeå,3,AS,32,36,2025,1989
1000087,3823.9,3343,m,640,Linkoping,21,NW,60,48,1997,1949
1000087,4019.46,3343,m,640,Linkoping,21,NW,60,49,1998,1949
1000088,14876.37,3336,f,536,Malmö,11,A,44,40,2022,1982
1000089,13436.38,3352,m,640,Malmo,13,A,36,55,1982,1927
1000089,13619.31,3352,m,640,Malmo,13,A,36,56,1983,1927
1000089,13804.72,3352,m,640,Malmo,13,A,36,57,1984,1927
1000089,13992.66,3352,m,640,Malmo,13,A,36,58,1985,1927
1000090,8036.92,3310,f,640,Stockholm,22,A,65,54,2009,1955
1000090,8135.31,3310,f,640,Stockholm,22,A,65,55,2010,1955
1000090,8234.91,3310,f,640,Stockholm,22,A,65,56,2011,1955
1000090,8335.72,3310,f,640,Stockholm,22,A,65,57,2012,1955
1000091,16494.37,3313,f,729,Borås,7,A,97,37,2015,1978
1000091,17289.96,3313,f,729,Borås,7,A,97,38,2016,1978
1000092,8037.71,3355,f,536,Stockholm,6,AS,30,39,2015,1976
1000093,3318.75,3317,f,337,Gothenburg,21,SE,59,29,2011,1982
1000093,3421.03,3317,f,337,Gothenburg,21,SE,59,30,2012,1982
1000093,3526.47,3317,f,337,Gothenburg,21,SE,59,31,2013,1982
1000094,11698.37,3339,f,536,Sollentuna,18,A,31,29,2004,1975
1000094,12259.78,3339,f,536,Sollentuna,18,A,31,30,2005,1975
1000095,8728.48,3342,m,337,Gothenburg,9,A,43,20,1998,1978
1000095,9116.54,3342,m,337,Gothenburg,9,A,43,21,1999,1978
1000095,9521.85,3342,m,337,Gothenburg,9,A,43,22,2000,1978
1000096,2944.91,3331,f,441,Uppsala,18,A,44,54,2004,1950
1000096,3087.59,3331,f,441,Uppsala,18,A,44,55,2005,1950
1000096,3237.19,3331,f,441,Uppsala,18,A,44,56,2006,1950
1000096,3394.03,3331,f,441,Uppsala,18,A,44,57,2007,1950
1000097,6444.24,3336,m,441,Linkoping,2,NW,99,40,2010,1970
1000097,6610.3,3336,m,441,Linkoping,2,NW,99,41,2011,1970
1000097,6780.65,3336,m,441,Linkoping,2,NW,99,42,2012,1970
1000097,6955.38,3336,m,441,Linkoping,2,NW,99,43,2013,1970
1000098,4892.68,3347,m,536,Malmö,11,NW,64,26,2008,1982
1000099,2139.43,3319,f,337,Umeå,3,A,83,50,1996,1946
1000099,2215.48,3319,f,337,Umeå,3,A,83,51,1997,1946
1000099,2294.24,3319,f,337,Umeå,3,A,83,52,1998,1946
1000100,7093.31,3330,f,337,Tumba,21,AS,48,65,2011,1946
1000101,22011.4,3357,m,441,Jönköping,3,W,29,47,1986,1939
1000102,2395.15,3330,f,441,Lund,26,SE,5,23,1998,1975
1000102,2455.76,3330,f,441,Lund,26,SE,5,24,1999,1975
1000102,2517.92,3330,f,441,Lund,26,SE,5,25,2000,1975
1000103,9771.91,3321,m,441,Orebro,6,AS,87,31,1985,1954
1000103,10219.99,3321,m,441,Orebro,6,AS,87,32,1986,1954
1000103,10688.62,3321,m,441,Orebro,6,AS,87,33,1987,1954
1000103,11178.73,3321,m,441,Orebro,6,AS,87,34,1988,1954
1000103,11691.32,3321,m,441,Orebro,6,AS,87,35,1989,1954
1000104,4230.06,3339,m,536,Alingsås,21,NW,29,36,2009,1973
1000104,4388.07,3339,m,536,Alingsås,21,NW,29,37,2010,1973
1000104,4551.98,3339,m,536,Alingsås,21,NW,29,38,2011,1973
1000105,4038.11,3338,f,640,Norrkoping,12,NW,9,57,1999,1942
1000105,4192.88,3338,f,640,Norrkoping,12,NW,9,58,2000,1942
1000105,4353.59,3338,f,640,Norrkoping,12,NW,9,59,2001,1942
1000105,4520.46,3338,f,640,Norrkoping,12,NW,9,60,2002,1942
1000106,5625.38,3316,f,640,Stockholm,8,A,61,44,2016,1972
1000106,5814.07,3316,f,640,Stockholm,8,A,61,45,2017,1972
1000106,6009.09,3316,f,640,Stockholm,8,A,61,46,2018,1972
1000107,3428.08,3310,f,337,Malmö,19,A,35,63,1983,1920
1000107,3567.3,3310,f,337,Malmö,19,A,35,64,1984,1920
1000107,3712.17,3310,f,337,Malmö,19,A,35,65,1985,1920
1000108,5676.35,3350,f,441,Helsingborg,7,W,28,59,1996,1937
1000108,5879.3,3350,f,441,Helsingborg,7,W,28,60,1997,1937
1000109,3710.87,3333,m,640,Eskilstuna,24,SE,74,28,1985,1957
1000109,3797.47,3333,m,640,Eskilstuna,24,SE,74,29,1986,1957
1000109,3886.09,3333,m,640,Eskilstuna,24,SE,74,30,1987,1957
1000110,7801.41,3343,f,441,Stockholm,17,AS,46,37,1990,1953
1000110,8173.25,3343,f,441,Stockholm,17,AS,46,38,1991,1953
1000110,8562.81,3343,f,441,Stockholm,17,AS,46,39,1992,1953
1000111,4780.18,3339,f,640,Borås,3,W,14,29,1994,1965
1000111,5018.69,3339,f,640,Borås,3,W,14,30,1995,1965
1000111,5269.1,3339,f,640,Borås,3,W,14,31,1996,1965
1000111,5532.01,3339,f,640,Borås,3,W,14,32,1997,1965
1000112,3805.37,3344,f,337,Eskilstuna,4,SE,33,49,2003,1954
1000112,3934.54,3344,f,337,Eskilstuna,4,SE,33,50,2004,1954
1000112,4068.1,3344,f,337,Eskilstuna,4,SE,33,51,2005,1954
1000113,2543.02,3349,f,337,Norrkoping,29,A,3,55,2000,1945
1000113,2591.43,3349,f,337,Norrkoping,29,A,3,56,2001,1945
1000113,2640.75,3349,f,337,Norrkoping,29,A,3,57,2002,1945
1000113,2691.01,3349,f,337,Norrkoping,29,A,3,58,2003,1945
1000113,2742.23,3349,f,337,Norrkoping,29,A,3,59,2004,1945
1000114,5276.64,3336,m,536,Upplands Vasby,4,W,83,28,1982,1954
1000115,12941.55,3318,f,536,Stockholm,13,NW,68,49,2003,1954
1000115,13292.61,3318,f,536,Stockholm,13,NW,68,50,2004,1954
1000115,13653.19,3318,f,536,Stockholm,13,NW,68,51,2005,1954
1000115,14023.55,3318,f,536,Stockholm,13,NW,68,52,2006,1954
1000115,14403.96,3318,f,536,Stockholm,13,NW,68,53,2007,1954
1000116,9468.14,3336,m,536,Norrkoping,9,A,78,22,2024,2002
1000116,9646.77,3336,m,536,Norrkoping,9,A,78,23,2025,2002
1000117,3185.52,3333,f,441,Tumba,18,SE,87,61,2002,1941
1000118,7602.75,3315,f,640,Stockholm,22,SE,58,33,2021,1988
1000118,7983.32,3315,f,640,Stockholm,22,SE,58,34,2022,1988
1000118,8382.93,3315,f,640,Stockholm,22,SE,58,35,2023,1988
1000118,8802.55,3315,f,640,Stockholm,22,SE,58,36,2024,1988
1000118,9243.17,3315,f,640,Stockholm,22,SE,58,37,2025,1988
1000119,13898.55,3346,m,640,Gothenburg,7,NW,100,24,2015,1991
1000119,14371.4,3346,m,640,Gothenburg,7,NW,100,25,2016,1991
1000120,2200.45,3327,m,640,Eskilstuna,28,AS,0,29,1988,1959
1000120,2244.96,3327,m,640,Eskilstuna,28,AS,0,30,1989,1959
1000120,2290.37,3327,m,640,Eskilstuna,28,AS,0,31,1990,1959
1000120,2336.7,3327,m,640,Eskilstuna,28,AS,0,32,1991,1959
1000120,2383.97,3327,m,640,Eskilstuna,28,AS,0,33,1992,1959
1000121,8332.35,3310,m,337,Norrkoping,12,SE,16,35,2017,1982
1000121,8421.41,3310,m,337,Norrkoping,12,SE,16,36,2018,1982
1000121,8511.41,3310,m,337,Norrkoping,12,SE,16,37,2019,1982
1000122,4553.28,3317,f,337,Stockholm,24,A,67,24,2010,1986
1000122,4744.42,3317,f,337,Stockholm,24,A,67,25,2011,1986
1000122,4943.58,3317,f,337,Stockholm,24,A,67,26,2012,1986
1000122,5151.1,3317,f,337,Stockholm,24,A,67,27,2013,1986
1000123,8045.98,3356,m,536,Vasteras,26,AS,5,62,2013,1951
1000123,8277.11,3356,m,536,Vasteras,26,AS,5,63,2014,1951
1000123,8514.89,3356,m,536,Vasteras,26,AS,5,64,2015,1951
1000124,3928.69,3353,m,337,Malmö,4,A,54,51,2025,1974
1000125,2259.37,3318,m,337,Gothenburg,9,NW,8,59,2020,1961
1000125,2332.69,3318,m,337,Gothenburg,9,NW,8,60,2021,1961
1000125,2408.38,3318,m,337,Gothenburg,9,NW,8,61,2022,1961
1000125,2486.53,3318,m,337,Gothenburg,9,NW,8,62,2023,1961
1000125,2567.22,3318,m,337,Gothenburg,9,NW,8,63,2024,1961
1000126,2564.98,3339,f,536,Malmö,17,AS,37,58,2007,1949
1000127,7549.59,3338,m,729,Umeå,29,NW,55,34,2006,1972
1000127,7882.06,3338,m,729,Umeå,29,NW,55,35,2007,1972
